Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SPRINT 2,Chrome 131.0.0.0,,,11-12-2024 11:05:13,11-12-2024 11:09:53,4m - 40.286s,PASSED
,,,,,,,
Test Cases/Master Tagihan/Admin Sekolah/Master Tagihan Pembayaran Per Siswa/Filter Dan Search Tagihan Persiswa,Chrome 131.0.0.0,,,11-12-2024 11:05:13,11-12-2024 11:05:57,43.790s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,11-12-2024 11:05:13,11-12-2024 11:05:16,2.805s,PASSED
"navigateToUrl(""https://school-payment.digiform.co.id/login"")",Chrome 131.0.0.0,,,11-12-2024 11:05:16,11-12-2024 11:05:26,9.641s,PASSED
"click(findTestObject(""Master Data/Admin Sekolah/Login/Field Email""))",Chrome 131.0.0.0,,,11-12-2024 11:05:26,11-12-2024 11:05:27,1.633s,PASSED
"setText(findTestObject(""Master Data/Admin Sekolah/Login/Field Email""), ""admin.sekolah@gmail.com"")",Chrome 131.0.0.0,,,11-12-2024 11:05:27,11-12-2024 11:05:28,0.820s,PASSED
delay(1),Chrome 131.0.0.0,,,11-12-2024 11:05:28,11-12-2024 11:05:29,1.043s,PASSED
"click(findTestObject(""Master Data/Admin Sekolah/Login/Input Password""))",Chrome 131.0.0.0,,,11-12-2024 11:05:29,11-12-2024 11:05:30,0.348s,PASSED
"setText(findTestObject(""Master Data/Admin Sekolah/Login/Input Password""), ""Test1234"")",Chrome 131.0.0.0,,,11-12-2024 11:05:30,11-12-2024 11:05:30,0.675s,PASSED
delay(1),Chrome 131.0.0.0,,,11-12-2024 11:05:30,11-12-2024 11:05:31,1.020s,PASSED
"click(findTestObject(""Master Data/Admin Sekolah/Login/Button Submit""))",Chrome 131.0.0.0,,,11-12-2024 11:05:31,11-12-2024 11:05:32,0.360s,PASSED
delay(1),Chrome 131.0.0.0,,,11-12-2024 11:05:32,11-12-2024 11:05:33,1.022s,PASSED
"click(findTestObject(""Master Tagihan/Admin Sekolah/Pembayaran Siswa/Homepage/Menu Tagihan""))",Chrome 131.0.0.0,,,11-12-2024 11:05:33,11-12-2024 11:05:34,1.329s,PASSED
delay(1),Chrome 131.0.0.0,,,11-12-2024 11:05:34,11-12-2024 11:05:35,1.011s,PASSED
"click(findTestObject(""Master Tagihan/Admin Sekolah/Pembayaran Siswa/Homepage/Sub-Menu Tagihan Persiswa""))",Chrome 131.0.0.0,,,11-12-2024 11:05:35,11-12-2024 11:05:35,0.350s,PASSED
delay(1),Chrome 131.0.0.0,,,11-12-2024 11:05:35,11-12-2024 11:05:36,1.024s,PASSED
"click(findTestObject(""Master Tagihan/Admin Sekolah/Pembayaran Siswa/Homepage/Sub Menu Tagihan Persiswa/Dropdown Unit/Klik Dropdown""))",Chrome 131.0.0.0,,,11-12-2024 11:05:36,11-12-2024 11:05:37,0.337s,PASSED
delay(1),Chrome 131.0.0.0,,,11-12-2024 11:05:37,11-12-2024 11:05:38,1.010s,PASSED
"click(findTestObject(""Master Tagihan/Admin Sekolah/Pembayaran Siswa/Homepage/Sub Menu Tagihan Persiswa/Dropdown Unit/Pilih Value Unit""))",Chrome 131.0.0.0,,,11-12-2024 11:05:38,11-12-2024 11:05:38,0.339s,PASSED
delay(1),Chrome 131.0.0.0,,,11-12-2024 11:05:38,11-12-2024 11:05:39,1.011s,PASSED
"click(findTestObject(""Master Tagihan/Admin Sekolah/Pembayaran Siswa/Homepage/Sub Menu Tagihan Persiswa/Dropdown Kelas/Klik Dropdown Kelas""))",Chrome 131.0.0.0,,,11-12-2024 11:05:39,11-12-2024 11:05:39,0.367s,PASSED
delay(1),Chrome 131.0.0.0,,,11-12-2024 11:05:39,11-12-2024 11:05:40,1.009s,PASSED
"click(findTestObject(""Master Tagihan/Admin Sekolah/Pembayaran Siswa/Homepage/Sub Menu Tagihan Persiswa/Dropdown Kelas/Klik Field Cari Kelas""))",Chrome 131.0.0.0,,,11-12-2024 11:05:40,11-12-2024 11:05:41,0.414s,PASSED
delay(1),Chrome 131.0.0.0,,,11-12-2024 11:05:41,11-12-2024 11:05:42,1.012s,PASSED
"setText(findTestObject(""Master Tagihan/Admin Sekolah/Pembayaran Siswa/Homepage/Sub Menu Tagihan Persiswa/Dropdown Kelas/Klik Field Cari Kelas""), ""kelas - XI IPA 11"")",Chrome 131.0.0.0,,,11-12-2024 11:05:42,11-12-2024 11:05:43,0.621s,PASSED
"click(findTestObject(""Master Tagihan/Admin Sekolah/Pembayaran Siswa/Homepage/Sub Menu Tagihan Persiswa/Dropdown Kelas/Pilih Kelas""))",Chrome 131.0.0.0,,,11-12-2024 11:05:43,11-12-2024 11:05:43,0.347s,PASSED
"setText(findTestObject(""Master Tagihan/Admin Sekolah/Pembayaran Siswa/Homepage/Sub Menu Tagihan Persiswa/Field Nama/Klik Field Nama""), ""danu"")",Chrome 131.0.0.0,,,11-12-2024 11:05:43,11-12-2024 11:05:44,0.675s,PASSED
"click(findTestObject(""Master Tagihan/Admin Sekolah/Pembayaran Siswa/Homepage/Sub Menu Tagihan Persiswa/Field Nama/Klik Hasil Cari Siswa""))",Chrome 131.0.0.0,,,11-12-2024 11:05:44,11-12-2024 11:05:45,1.609s,PASSED
"click(findTestObject(""Master Tagihan/Admin Sekolah/Pembayaran Siswa/Homepage/Sub Menu Tagihan Persiswa/Tombol Terapkan/Klik Tombol Terapkan""))",Chrome 131.0.0.0,,,11-12-2024 11:05:45,11-12-2024 11:05:46,0.513s,PASSED
delay(1),Chrome 131.0.0.0,Filter By NIS,,11-12-2024 11:05:46,11-12-2024 11:05:47,1.020s,PASSED
"click(findTestObject(""Master Tagihan/Admin Sekolah/Pembayaran Siswa/Homepage/Sub Menu Tagihan Persiswa/Filter/Filter By NIS/Klik Dropdown Nama""))",Chrome 131.0.0.0,,,11-12-2024 11:05:47,11-12-2024 11:05:47,0.383s,PASSED
"click(findTestObject(""Master Tagihan/Admin Sekolah/Pembayaran Siswa/Homepage/Sub Menu Tagihan Persiswa/Filter/Filter By NIS/Klik NIS""))",Chrome 131.0.0.0,,,11-12-2024 11:05:47,11-12-2024 11:05:48,0.737s,PASSED
"click(findTestObject(""Master Tagihan/Admin Sekolah/Pembayaran Siswa/Homepage/Sub Menu Tagihan Persiswa/Field Nama/Klik Field Nama""))",Chrome 131.0.0.0,,,11-12-2024 11:05:48,11-12-2024 11:05:48,0.552s,PASSED
delay(1),Chrome 131.0.0.0,,,11-12-2024 11:05:48,11-12-2024 11:05:49,1.013s,PASSED
"setText(findTestObject(""Master Tagihan/Admin Sekolah/Pembayaran Siswa/Homepage/Sub Menu Tagihan Persiswa/Field Nama/Klik Field Nama""), ""2024"")",Chrome 131.0.0.0,,,11-12-2024 11:05:49,11-12-2024 11:05:50,0.814s,PASSED
"click(findTestObject(""Master Tagihan/Admin Sekolah/Pembayaran Siswa/Homepage/Sub Menu Tagihan Persiswa/Filter/Filter By NIS/Pilih Value NIS""))",Chrome 131.0.0.0,,,11-12-2024 11:05:50,11-12-2024 11:05:52,1.683s,PASSED
delay(1),Chrome 131.0.0.0,,,11-12-2024 11:05:52,11-12-2024 11:05:53,1.007s,PASSED
"click(findTestObject(""Master Tagihan/Admin Sekolah/Pembayaran Siswa/Homepage/Sub Menu Tagihan Persiswa/Tombol Terapkan/Klik Tombol Terapkan""))",Chrome 131.0.0.0,,,11-12-2024 11:05:53,11-12-2024 11:05:53,0.417s,PASSED
delay(3),Chrome 131.0.0.0,,,11-12-2024 11:05:53,11-12-2024 11:05:56,3.014s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,11-12-2024 11:05:56,11-12-2024 11:05:57,0.485s,PASSED
,,,,,,,
Test Cases/Master Tagihan/Admin Sekolah/Master Tagihan Pembayaran Per Siswa/Sorting Table Tagihan Persiswa,Chrome 131.0.0.0,,,11-12-2024 11:05:57,11-12-2024 11:06:25,27.784s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,11-12-2024 11:05:57,11-12-2024 11:05:58,1.093s,PASSED
"navigateToUrl(""https://school-payment.digiform.co.id/login"")",Chrome 131.0.0.0,,,11-12-2024 11:05:58,11-12-2024 11:05:58,0.362s,PASSED
"click(findTestObject(""Master Data/Admin Sekolah/Login/Field Email""))",Chrome 131.0.0.0,,,11-12-2024 11:05:58,11-12-2024 11:06:00,1.620s,PASSED
"setText(findTestObject(""Master Data/Admin Sekolah/Login/Field Email""), ""admin.sekolah@gmail.com"")",Chrome 131.0.0.0,,,11-12-2024 11:06:00,11-12-2024 11:06:01,0.605s,PASSED
delay(1),Chrome 131.0.0.0,,,11-12-2024 11:06:01,11-12-2024 11:06:02,1.012s,PASSED
